,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1875.0,2.0,235.0,3
3,1st Block Jayanagar,1200.0,2.0,130.0,3
4,1st Block Jayanagar,1235.0,2.0,148.0,2
5,1st Block Jayanagar,2750.0,4.0,413.0,4
6,1st Block Jayanagar,2450.0,4.0,368.0,4
10,1st Phase JP Nagar,2065.0,4.0,210.0,3
12,1st Phase JP Nagar,2059.0,3.0,225.0,3
14,1st Phase JP Nagar,1077.0,2.0,93.0,2
15,1st Phase JP Nagar,1566.0,2.0,180.0,2
16,1st Phase JP Nagar,840.0,2.0,50.0,1
18,1st Phase JP Nagar,2180.0,3.0,210.0,3
26,1st Phase JP Nagar,900.0,2.0,75.0,2
27,2nd Stage Nagarbhavi,1500.0,4.0,220.0,4
28,2nd Stage Nagarbhavi,3000.0,8.0,451.0,6
29,2nd Stage Nagarbhavi,2400.0,8.0,450.0,6
30,2nd Stage Nagarbhavi,1350.0,4.0,200.0,4
31,2nd Stage Nagarbhavi,1200.0,4.0,225.0,4
32,2nd Stage Nagarbhavi,1500.0,3.0,230.0,4
33,5th Block Hbr Layout,1206.0,2.0,56.0,2
34,5th Block Hbr Layout,1270.0,2.0,70.0,3
35,5th Block Hbr Layout,1312.0,2.0,69.0,2
36,5th Block Hbr Layout,1100.0,2.0,48.0,2
37,5th Block Hbr Layout,3600.0,5.0,130.0,5
38,5th Block Hbr Layout,5100.0,5.0,300.0,6
39,5th Phase JP Nagar,1075.0,2.0,60.0,2
42,5th Phase JP Nagar,1207.0,2.0,63.0,2
43,5th Phase JP Nagar,1725.0,2.0,100.0,3
45,5th Phase JP Nagar,1700.0,2.0,100.0,3
48,5th Phase JP Nagar,600.0,1.0,30.0,1
51,5th Phase JP Nagar,1350.0,2.0,75.0,3
52,5th Phase JP Nagar,552.0,1.0,23.5,1
57,5th Phase JP Nagar,1030.0,2.0,57.0,2
58,5th Phase JP Nagar,1200.0,2.0,68.0,2
59,5th Phase JP Nagar,1190.0,2.0,61.8,2
62,5th Phase JP Nagar,1041.0,2.0,54.0,2
63,5th Phase JP Nagar,812.0,2.0,42.0,2
64,5th Phase JP Nagar,1010.0,2.0,57.0,2
66,6th Phase JP Nagar,1192.0,2.0,74.0,2
67,6th Phase JP Nagar,1180.0,2.0,80.0,2
68,6th Phase JP Nagar,3245.0,4.0,250.0,4
69,6th Phase JP Nagar,1645.0,3.0,100.0,3
71,6th Phase JP Nagar,2040.0,3.0,200.0,3
75,6th Phase JP Nagar,2003.0,3.0,200.0,3
76,6th Phase JP Nagar,1810.0,3.0,131.0,3
77,6th Phase JP Nagar,1515.0,2.0,135.0,3
78,6th Phase JP Nagar,1192.0,2.0,75.0,2
79,6th Phase JP Nagar,1280.0,2.0,88.0,2
80,7th Phase JP Nagar,1080.0,2.0,72.0,2
81,7th Phase JP Nagar,1270.0,2.0,93.0,2
82,7th Phase JP Nagar,1420.0,2.0,100.0,3
83,7th Phase JP Nagar,1850.0,3.0,150.0,3
84,7th Phase JP Nagar,1245.0,2.0,94.0,2
85,7th Phase JP Nagar,1175.0,2.0,82.0,2
86,7th Phase JP Nagar,1400.0,2.0,95.0,3
87,7th Phase JP Nagar,2225.0,3.0,160.0,3
88,7th Phase JP Nagar,1050.0,2.0,71.0,2
90,7th Phase JP Nagar,1450.0,2.0,100.0,3
91,7th Phase JP Nagar,1420.0,2.0,96.0,3
92,7th Phase JP Nagar,1680.0,3.0,120.0,3
93,7th Phase JP Nagar,980.0,2.0,69.0,2
95,7th Phase JP Nagar,5080.0,7.0,450.0,6
97,7th Phase JP Nagar,1400.0,3.0,115.0,3
98,7th Phase JP Nagar,1270.0,2.0,83.0,2
100,7th Phase JP Nagar,2503.0,4.0,188.0,4
101,7th Phase JP Nagar,2200.0,3.0,190.0,3
103,7th Phase JP Nagar,1575.0,2.0,110.0,3
104,7th Phase JP Nagar,1850.0,3.0,140.0,3
105,7th Phase JP Nagar,1575.0,2.0,120.0,3
